Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-02-12 14:24:19,0.0,1.54,0.01
2026-02-12 14:24:29,0.0,1.54,0.01
2026-02-12 14:27:08,0.0,0.0,0.0
2026-02-12 14:27:18,0.56,92.59,4.59
2026-02-12 14:27:28,0.37,154.32,5.11
2026-02-12 14:27:38,0.0,154.32,3.84
2026-02-12 14:27:48,0.19,185.19,3.69
2026-02-12 14:27:58,0.0,185.19,3.08
2026-02-12 14:28:08,0.0,185.19,2.64
2026-02-12 14:31:05,0.0,0.0,0.0
2026-02-12 14:31:15,1.3,2.16,0.11
2026-02-12 14:31:25,0.19,2.47,0.08
2026-02-12 14:31:35,0.0,2.47,0.06
2026-02-12 14:31:45,0.37,3.08,0.06
2026-02-12 14:31:55,0.0,3.08,0.05
2026-02-12 14:33:06,0.0,0.0,0.0
2026-02-12 14:33:16,0.56,92.59,4.58
2026-02-12 14:33:26,0.19,123.46,4.09
2026-02-12 14:38:30,0.0,0.0,0.0
2026-02-12 14:38:40,0.0,0.0,0.0
2026-02-12 14:38:50,0.01,2.22,0.07
2026-02-12 14:39:00,0.0,2.22,0.06
2026-02-12 14:39:10,0.0,2.22,0.04
2026-02-12 14:39:20,0.0,2.22,0.04
2026-02-12 14:39:30,0.0,2.22,0.03
2026-02-12 14:39:40,0.0,2.22,0.03
2026-02-12 14:39:50,0.0,2.22,0.02
2026-02-12 14:40:00,0.0,2.22,0.02
2026-02-12 14:40:10,0.0,2.22,0.02
2026-02-12 14:40:20,0.0,2.22,0.02
2026-02-12 14:40:30,0.0,2.22,0.02
2026-02-12 14:40:40,0.0,2.22,0.02
2026-02-12 14:40:50,0.0,2.22,0.01
2026-02-12 14:41:00,0.0,2.22,0.01
2026-02-12 14:41:10,0.0,2.22,0.01
2026-02-12 14:41:20,0.0,2.22,0.01
2026-02-12 14:41:30,0.0,2.22,0.01
2026-02-12 14:45:37,0.0,0.0,0.0
2026-02-12 14:45:47,0.0,0.0,0.0
2026-02-12 14:45:57,0.04,6.67,0.22
2026-02-12 14:46:07,0.0,6.67,0.17
2026-02-12 14:46:17,0.0,6.67,0.13
2026-02-12 14:46:51,0.0,0.0,0.0
2026-02-12 14:47:01,0.0,0.0,0.0
2026-02-12 14:47:11,0.0,0.0,0.0
